id,screen_id,row_label,seat_number,seat_type
1,1,A,1,standard
2,1,A,2,standard
3,1,A,3,standard
4,1,A,4,standard
5,1,A,5,standard
6,1,B,1,standard
7,1,B,2,standard
8,1,B,3,standard
9,1,B,4,standard
10,1,B,5,standard
11,1,C,1,premium
12,1,C,2,premium
13,1,C,3,premium
14,1,C,4,premium
15,1,C,5,premium
16,1,D,1,premium
17,1,D,2,premium
18,1,D,3,premium
19,1,D,4,premium
20,1,D,5,premium
21,1,E,1,standard
22,1,E,2,wheelchair
23,1,E,3,standard
24,1,E,4,wheelchair
25,1,E,5,standard
26,2,A,1,standard
27,2,A,2,standard
28,2,A,3,standard
29,2,A,4,standard
30,2,B,1,standard
31,2,B,2,standard
32,2,B,3,standard
33,2,B,4,standard
34,2,C,1,premium
35,2,C,2,premium
36,2,C,3,premium
37,2,C,4,premium
38,3,A,1,premium
39,3,A,2,premium
40,3,A,3,premium
41,3,A,4,premium
42,3,A,5,premium
43,3,B,1,premium
44,3,B,2,premium
45,3,B,3,premium
46,3,B,4,premium
47,3,B,5,premium
48,3,C,1,standard
49,3,C,2,standard
50,3,C,3,standard
